Exponent,Latency (ms)
2^0,0.260110
2^0,0.000222
2^0,0.000221
2^0,0.000185
2^0,0.000180
2^1,0.000185
2^1,0.000219
2^1,0.000214
2^1,0.000181
2^1,0.000190
2^2,0.000194
2^2,0.000206
2^2,0.000203
2^2,0.000221
2^2,0.000211
2^3,0.000211
2^3,0.000211
2^3,0.000223
2^3,0.000212
2^3,0.000255
2^4,0.000211
2^4,0.000215
2^4,0.000216
2^4,0.000218
2^4,0.000232
2^5,0.000389
2^5,0.000266
2^5,0.000264
2^5,0.000265
2^5,0.000256
2^6,0.000262
2^6,0.000253
2^6,0.000279
2^6,0.000278
2^6,0.000248
2^7,0.000273
2^7,0.000265
2^7,0.000252
2^7,0.000284
2^7,0.000264
2^8,0.000784
2^8,0.000412
2^8,0.000473
2^8,0.000435
2^8,0.000401
2^9,0.000595
2^9,0.000549
2^9,0.000490
2^9,0.000552
2^9,0.000688
2^10,0.000694
2^10,0.000671
2^10,0.000696
2^10,0.000682
2^10,0.000670
2^11,0.127702
2^11,0.001130
2^11,0.000992
2^11,0.001036
2^11,0.001005
2^12,0.001594
2^12,0.001782
2^12,0.001781
2^12,0.001738
2^12,0.001798
2^13,0.002548
2^13,0.002727
2^13,0.003098
2^13,0.003068
2^13,0.002784
2^14,0.004804
2^14,0.004900
2^14,0.005066
2^14,0.004567
2^14,0.004652
2^15,0.007637
2^15,0.007539
2^15,0.007547
2^15,0.007307
2^15,0.007493
2^16,0.012142
2^16,0.013691
2^16,0.015511
2^16,0.013381
2^16,0.014200
2^17,0.031212
2^17,0.031800
2^17,0.033303
2^17,0.034289
2^17,0.031986
2^18,0.140190
2^18,0.061944
2^18,0.061740
2^18,0.061931
2^18,0.061873
2^19,0.168857
2^19,0.116309
2^19,0.116265
2^19,0.107380
2^19,0.035822
2^20,0.153446
2^20,0.099383
2^20,0.099351
2^20,0.099477
2^20,0.099325
