Exponent,Latency (ms)
2^0,1.320768
2^0,0.019600
2^0,0.000295
2^0,0.001295
2^0,0.000260
2^1,0.001305
2^1,0.000315
2^1,0.001295
2^1,0.000325
2^1,0.001275
2^2,0.000355
2^2,0.001230
2^2,0.000375
2^2,0.001235
2^2,0.000435
2^3,0.001480
2^3,0.000230
2^3,0.001365
2^3,0.000250
2^3,0.001335
2^4,0.000250
2^4,0.001355
2^4,0.000275
2^4,0.001335
2^4,0.000270
2^5,0.001520
2^5,0.000450
2^5,0.001480
2^5,0.000460
2^5,0.001495
2^6,0.000830
2^6,0.001660
2^6,0.000245
2^6,0.001525
2^6,0.000275
2^7,0.001625
2^7,0.000265
2^7,0.001885
2^7,0.000275
2^7,0.001895
2^8,0.003000
2^8,0.578397
2^8,0.000645
2^8,0.001720
2^8,0.000740
2^9,0.001380
2^9,0.001120
2^9,0.001145
2^9,0.001310
2^9,0.000900
2^10,0.001450
2^10,0.000675
2^10,0.001865
2^10,0.000770
2^10,0.001620
2^11,0.004220
2^11,0.002550
2^11,0.000380
2^11,0.002620
2^11,0.000355
2^12,0.002805
2^12,0.000450
2^12,0.003200
2^12,0.000515
2^12,0.002925
2^13,0.000885
2^13,0.000615
2^13,0.003390
2^13,0.001805
2^13,0.005820
2^14,0.005740
2^14,0.001255
2^14,0.001430
2^14,0.001315
2^14,0.001365
2^15,0.003780
2^15,0.001960
2^15,0.002370
2^15,0.002430
2^15,0.003760
2^16,0.005695
2^16,0.007565
2^16,0.003590
2^16,0.010275
2^16,0.006880
2^17,0.007640
2^17,0.011005
2^17,0.010130
2^17,0.009505
2^17,0.009660
2^18,0.302478
2^18,0.037435
2^18,0.034699
2^18,0.035435
2^18,0.034490
2^19,0.580092
2^19,0.045449
2^19,0.051099
2^19,0.046529
2^19,0.048085
2^20,0.586792
2^20,0.058334
2^20,0.065240
2^20,0.068480
2^20,0.061489
