Exponent,Latency (ms)
2^0,0.000642
2^0,0.000385
2^0,0.000377
2^0,0.000381
2^0,0.000384
2^1,0.000412
2^1,0.000384
2^1,0.000389
2^1,0.000407
2^1,0.000412
2^2,0.000420
2^2,0.000398
2^2,0.000386
2^2,0.000386
2^2,0.000385
2^3,0.000387
2^3,0.000387
2^3,0.000389
2^3,0.000392
2^3,0.000386
2^4,0.000390
2^4,0.000383
2^4,0.000383
2^4,0.000402
2^4,0.000401
2^5,0.000546
2^5,0.000529
2^5,0.000581
2^5,0.000547
2^5,0.000537
2^6,0.000532
2^6,0.000536
2^6,0.000535
2^6,0.000534
2^6,0.000538
2^7,0.001513
2^7,0.000610
2^7,0.000622
2^7,0.000613
2^7,0.000625
2^8,0.000803
2^8,0.000682
2^8,0.000721
2^8,0.000675
2^8,0.000679
2^9,0.001122
2^9,0.000908
2^9,0.000888
2^9,0.000916
2^9,0.000909
2^10,0.001484
2^10,0.001100
2^10,0.001202
2^10,0.001055
2^10,0.001066
2^11,0.002463
2^11,0.001919
2^11,0.001891
2^11,0.001911
2^11,0.001890
2^12,0.004321
2^12,0.003368
2^12,0.003200
2^12,0.003188
2^12,0.003258
2^13,0.002318
2^13,0.002241
2^13,0.002246
2^13,0.002245
2^13,0.002278
2^14,0.004316
2^14,0.004416
2^14,0.004998
2^14,0.003213
2^14,0.003269
2^15,0.006182
2^15,0.006102
2^15,0.006167
2^15,0.006131
2^15,0.006120
2^16,0.011462
2^16,0.011517
2^16,0.011457
2^16,0.011479
2^16,0.011550
2^17,0.025169
2^17,0.027170
2^17,0.027129
2^17,0.028800
2^17,0.028764
2^18,0.008186
2^18,0.004785
2^18,0.004786
2^18,0.004728
2^18,0.004685
2^19,0.015149
2^19,0.009485
2^19,0.009686
2^19,0.009440
2^19,0.009527
2^20,0.022477
2^20,0.017376
2^20,0.017471
2^20,0.017365
2^20,0.017381
