Exponent,Latency (ms)
2^0,0.044475
2^0,0.000240
2^0,0.000865
2^0,0.000105
2^0,0.000095
2^1,0.000750
2^1,0.000085
2^1,0.000085
2^1,0.000085
2^1,0.000085
2^2,0.000090
2^2,0.000080
2^2,0.000085
2^2,0.000105
2^2,0.000075
2^3,0.001040
2^3,0.000110
2^3,0.000085
2^3,0.000080
2^3,0.000075
2^4,0.000095
2^4,0.000100
2^4,0.000080
2^4,0.000090
2^4,0.000080
2^5,0.000100
2^5,0.000080
2^5,0.000085
2^5,0.000090
2^5,0.000370
2^6,0.001205
2^6,0.000085
2^6,0.000085
2^6,0.000075
2^6,0.000085
2^7,0.005435
2^7,0.000865
2^7,0.000660
2^7,0.000765
2^7,0.000635
2^8,0.000670
2^8,0.003020
2^8,0.002805
2^8,0.001700
2^8,0.000705
2^9,0.000975
2^9,0.000680
2^9,0.000880
2^9,0.000735
2^9,0.000900
2^10,0.000895
2^10,0.000740
2^10,0.000720
2^10,0.000720
2^10,0.000685
2^11,0.001025
2^11,0.000750
2^11,0.000795
2^11,0.000765
2^11,0.000860
2^12,0.002580
2^12,0.002435
2^12,0.004050
2^12,0.003325
2^12,0.002185
2^13,0.003440
2^13,0.002440
2^13,0.003515
2^13,0.002715
2^13,0.002430
2^14,0.007135
2^14,0.005305
2^14,0.004845
2^14,0.004735
2^14,0.005295
2^15,0.010020
2^15,0.011335
2^15,0.009135
2^15,0.009520
2^15,0.009965
2^16,0.013475
2^16,0.015479
2^16,0.014700
2^16,0.004660
2^16,0.002435
2^17,0.005555
2^17,0.005670
2^17,0.004890
2^17,0.006220
2^17,0.005010
2^18,0.323854
2^18,0.009855
2^18,0.008220
2^18,0.008500
2^18,0.009955
2^19,0.424469
2^19,0.018555
2^19,0.018104
2^19,0.018030
2^19,0.018125
2^20,0.435698
2^20,0.036089
2^20,0.035515
2^20,0.035475
2^20,0.035515
