Exponent,Latency (ms)
2^0,1.645915
2^0,0.002475
2^0,0.003019
2^0,0.002110
2^0,0.001955
2^1,0.002000
2^1,0.002110
2^1,0.001950
2^1,0.001940
2^1,0.001955
2^2,0.001980
2^2,0.001945
2^2,0.001950
2^2,0.001945
2^2,0.002030
2^3,0.002710
2^3,0.001965
2^3,0.001965
2^3,0.001975
2^3,0.001980
2^4,0.002015
2^4,0.001985
2^4,0.002000
2^4,0.001985
2^4,0.001985
2^5,0.002420
2^5,0.002400
2^5,0.002365
2^5,0.002350
2^5,0.002345
2^6,0.003305
2^6,0.002785
2^6,0.002330
2^6,0.002330
2^6,0.002330
2^7,0.002645
2^7,0.002575
2^7,0.002925
2^7,0.003030
2^7,0.002645
2^8,0.007655
2^8,0.003480
2^8,0.003480
2^8,0.003425
2^8,0.003545
2^9,0.004410
2^9,0.004480
2^9,0.004414
2^9,0.004335
2^9,0.004390
2^10,0.006360
2^10,0.008050
2^10,0.006200
2^10,0.006255
2^10,0.006195
2^11,0.605630
2^11,0.010850
2^11,0.010055
2^11,0.010045
2^11,0.010040
2^12,0.017260
2^12,0.017675
2^12,0.017284
2^12,0.017245
2^12,0.017384
2^13,0.031005
2^13,0.030970
2^13,0.033784
2^13,0.031130
2^13,0.030930
2^14,0.058334
2^14,0.056274
2^14,0.056475
2^14,0.061670
2^14,0.056830
2^15,0.110729
2^15,0.112014
2^15,0.109639
2^15,0.109549
2^15,0.110919
2^16,0.209513
2^16,0.208663
2^16,0.208658
2^16,0.210708
2^16,0.208428
2^17,0.409886
2^17,0.406201
2^17,0.407932
2^17,0.409137
2^17,0.406766
2^18,1.348403
2^18,0.809883
2^18,0.810057
2^18,0.810563
2^18,0.808797
2^19,2.348054
2^19,1.599861
2^19,1.597560
2^19,1.600746
2^19,1.597711
2^20,3.905644
2^20,3.180121
2^20,3.180671
2^20,3.174121
2^20,3.173006
