Exponent,Latency (ms)
2^0,0.001073
2^0,0.000777
2^0,0.000798
2^0,0.000762
2^0,0.000763
2^1,0.000762
2^1,0.000762
2^1,0.000761
2^1,0.000800
2^1,0.000771
2^2,0.000762
2^2,0.000761
2^2,0.000761
2^2,0.000761
2^2,0.000762
2^3,0.000849
2^3,0.000762
2^3,0.000762
2^3,0.000763
2^3,0.000762
2^4,0.000763
2^4,0.000797
2^4,0.000764
2^4,0.000757
2^4,0.000761
2^5,0.001072
2^5,0.001124
2^5,0.001065
2^5,0.001062
2^5,0.001066
2^6,0.001057
2^6,0.001080
2^6,0.001056
2^6,0.001056
2^6,0.001054
2^7,0.002553
2^7,0.001174
2^7,0.001197
2^7,0.001177
2^7,0.001505
2^8,0.001438
2^8,0.001272
2^8,0.001302
2^8,0.001252
2^8,0.001254
2^9,0.001947
2^9,0.001647
2^9,0.001623
2^9,0.001655
2^9,0.001639
2^10,0.002621
2^10,0.002075
2^10,0.002000
2^10,0.002021
2^10,0.001989
2^11,0.004310
2^11,0.003488
2^11,0.003436
2^11,0.003417
2^11,0.003422
2^12,0.007376
2^12,0.005419
2^12,0.005384
2^12,0.005335
2^12,0.005372
2^13,0.009702
2^13,0.009582
2^13,0.009578
2^13,0.009567
2^13,0.009615
2^14,0.016968
2^14,0.006782
2^14,0.006440
2^14,0.006402
2^14,0.006438
2^15,0.011192
2^15,0.011205
2^15,0.011299
2^15,0.011279
2^15,0.011276
2^16,0.020549
2^16,0.020506
2^16,0.020459
2^16,0.020483
2^16,0.020450
2^17,0.043254
2^17,0.037294
2^17,0.037313
2^17,0.037096
2^17,0.037128
2^18,0.050646
2^18,0.044970
2^18,0.044933
2^18,0.044990
2^18,0.044969
2^19,0.092184
2^19,0.084795
2^19,0.085711
2^19,0.084612
2^19,0.084802
2^20,0.176511
2^20,0.165488
2^20,0.154434
2^20,0.156656
2^20,0.155002
