Exponent,Latency (ms)
2^0,0.013709
2^0,0.000844
2^0,0.000847
2^0,0.000914
2^0,0.000965
2^1,0.000850
2^1,0.000927
2^1,0.000852
2^1,0.000831
2^1,0.000915
2^2,0.000895
2^2,0.000847
2^2,0.000934
2^2,0.000872
2^2,0.000851
2^3,0.000845
2^3,0.000897
2^3,0.000864
2^3,0.000837
2^3,0.000929
2^4,0.000852
2^4,0.000865
2^4,0.000931
2^4,0.000851
2^4,0.000852
2^5,0.000899
2^5,0.000870
2^5,0.000868
2^5,0.000915
2^5,0.000871
2^6,0.000911
2^6,0.000877
2^6,0.000925
2^6,0.000896
2^6,0.000915
2^7,0.001120
2^7,0.000941
2^7,0.000943
2^7,0.000957
2^7,0.000947
2^8,0.007707
2^8,0.001245
2^8,0.001327
2^8,0.001245
2^8,0.001237
2^9,0.001388
2^9,0.001414
2^9,0.001386
2^9,0.001411
2^9,0.001375
2^10,0.001645
2^10,0.001627
2^10,0.001722
2^10,0.001630
2^10,0.001703
2^11,0.002273
2^11,0.002179
2^11,0.002252
2^11,0.002181
2^11,0.002232
2^12,0.003227
2^12,0.003320
2^12,0.003246
2^12,0.003219
2^12,0.003258
2^13,0.005346
2^13,0.005179
2^13,0.005264
2^13,0.005266
2^13,0.005199
2^14,0.008656
2^14,0.008528
2^14,0.008846
2^14,0.008678
2^14,0.008908
2^15,0.014972
2^15,0.014295
2^15,0.015765
2^15,0.015823
2^15,0.015659
2^16,0.023961
2^16,0.007089
2^16,0.007054
2^16,0.007061
2^16,0.007120
2^17,0.011919
2^17,0.012622
2^17,0.012470
2^17,0.009832
2^17,0.008990
2^18,0.018981
2^18,0.015398
2^18,0.015414
2^18,0.015387
2^18,0.015323
2^19,0.031823
2^19,0.026143
2^19,0.026026
2^19,0.026093
2^19,0.025981
2^20,0.053233
2^20,0.047315
2^20,0.047327
2^20,0.047307
2^20,0.047313
