Exponent,Latency (ms)
2^0,1.271193
2^0,0.000450
2^0,0.000475
2^0,0.000140
2^0,0.000140
2^1,0.000110
2^1,0.000155
2^1,0.000135
2^1,0.000095
2^1,0.000095
2^2,0.000110
2^2,0.000095
2^2,0.000100
2^2,0.000100
2^2,0.000305
2^3,0.000180
2^3,0.000105
2^3,0.000295
2^3,0.000100
2^3,0.000130
2^4,0.000105
2^4,0.000100
2^4,0.000100
2^4,0.000100
2^4,0.000095
2^5,0.000155
2^5,0.000110
2^5,0.000210
2^5,0.000145
2^5,0.000100
2^6,0.000195
2^6,0.000240
2^6,0.000165
2^6,0.000135
2^6,0.000150
2^7,0.000155
2^7,0.000155
2^7,0.000145
2^7,0.000325
2^7,0.000150
2^8,0.001670
2^8,0.000250
2^8,0.000315
2^8,0.000375
2^8,0.000210
2^9,0.000385
2^9,0.000230
2^9,0.000245
2^9,0.000240
2^9,0.000180
2^10,0.000265
2^10,0.000415
2^10,0.000265
2^10,0.000265
2^10,0.001705
2^11,0.584007
2^11,0.000545
2^11,0.000295
2^11,0.000295
2^11,0.000300
2^12,0.000395
2^12,0.000385
2^12,0.000555
2^12,0.000415
2^12,0.000420
2^13,0.000595
2^13,0.000530
2^13,0.000630
2^13,0.000785
2^13,0.000570
2^14,0.004675
2^14,0.001585
2^14,0.004890
2^14,0.001260
2^14,0.002340
2^15,0.002555
2^15,0.004760
2^15,0.002060
2^15,0.002220
2^15,0.001975
2^16,0.007965
2^16,0.014465
2^16,0.003880
2^16,0.004110
2^16,0.009430
2^17,0.009405
2^17,0.007465
2^17,0.006830
2^17,0.007020
2^17,0.008465
2^18,0.296968
2^18,0.016590
2^18,0.014674
2^18,0.014330
2^18,0.014245
2^19,0.608702
2^19,0.025695
2^19,0.025015
2^19,0.025340
2^19,0.026600
2^20,0.579707
2^20,0.046839
2^20,0.047450
2^20,0.046410
2^20,0.046210
