Exponent,Latency (ms)
2^0,0.000320
2^0,0.000112
2^0,0.000112
2^0,0.000112
2^0,0.000112
2^1,0.000112
2^1,0.000111
2^1,0.000112
2^1,0.000147
2^1,0.000112
2^2,0.000112
2^2,0.000112
2^2,0.000112
2^2,0.000111
2^2,0.000112
2^3,0.000112
2^3,0.000112
2^3,0.000111
2^3,0.000112
2^3,0.000113
2^4,0.000112
2^4,0.000112
2^4,0.000110
2^4,0.000114
2^4,0.000112
2^5,0.000122
2^5,0.000123
2^5,0.000133
2^5,0.000122
2^5,0.000118
2^6,0.000115
2^6,0.000114
2^6,0.000114
2^6,0.000114
2^6,0.000114
2^7,0.000849
2^7,0.000221
2^7,0.000239
2^7,0.000217
2^7,0.000221
2^8,0.000254
2^8,0.000227
2^8,0.000245
2^8,0.000217
2^8,0.000208
2^9,0.000338
2^9,0.000274
2^9,0.000243
2^9,0.000235
2^9,0.000240
2^10,0.000502
2^10,0.000279
2^10,0.000281
2^10,0.000283
2^10,0.000278
2^11,0.001071
2^11,0.000415
2^11,0.000413
2^11,0.000414
2^11,0.000414
2^12,0.001430
2^12,0.000630
2^12,0.000633
2^12,0.000638
2^12,0.000633
2^13,0.001389
2^13,0.001146
2^13,0.001143
2^13,0.001127
2^13,0.001177
2^14,0.002838
2^14,0.002285
2^14,0.002310
2^14,0.002320
2^14,0.002301
2^15,0.004552
2^15,0.004247
2^15,0.004315
2^15,0.004286
2^15,0.004272
2^16,0.007841
2^16,0.007833
2^16,0.007956
2^16,0.007967
2^16,0.007935
2^17,0.015552
2^17,0.015603
2^17,0.015635
2^17,0.015488
2^17,0.015601
2^18,0.007529
2^18,0.004314
2^18,0.004298
2^18,0.004291
2^18,0.004302
2^19,0.013816
2^19,0.009738
2^19,0.009480
2^19,0.009132
2^19,0.009024
2^20,0.022952
2^20,0.017149
2^20,0.017113
2^20,0.017033
2^20,0.017043
