Exponent,Latency (ms)
2^0,0.012085
2^0,0.010800
2^0,0.001045
2^0,0.000145
2^0,0.000245
2^1,0.000135
2^1,0.000110
2^1,0.000105
2^1,0.000105
2^1,0.000140
2^2,0.000115
2^2,0.000105
2^2,0.000105
2^2,0.000100
2^2,0.000100
2^3,0.001960
2^3,0.000130
2^3,0.000120
2^3,0.000105
2^3,0.000110
2^4,0.000120
2^4,0.000120
2^4,0.000110
2^4,0.000100
2^4,0.000105
2^5,0.000120
2^5,0.000105
2^5,0.000135
2^5,0.000100
2^5,0.000130
2^6,0.001550
2^6,0.000095
2^6,0.000100
2^6,0.000115
2^6,0.000100
2^7,0.007325
2^7,0.001125
2^7,0.000840
2^7,0.000830
2^7,0.000770
2^8,0.000810
2^8,0.002875
2^8,0.003515
2^8,0.002040
2^8,0.000985
2^9,0.000950
2^9,0.000925
2^9,0.000810
2^9,0.000885
2^9,0.000940
2^10,0.000875
2^10,0.000855
2^10,0.001005
2^10,0.000840
2^10,0.001165
2^11,0.001090
2^11,0.001190
2^11,0.001165
2^11,0.001360
2^11,0.000920
2^12,0.002815
2^12,0.003020
2^12,0.004065
2^12,0.003850
2^12,0.002700
2^13,0.002905
2^13,0.003000
2^13,0.003230
2^13,0.003275
2^13,0.002955
2^14,0.007685
2^14,0.006030
2^14,0.006030
2^14,0.005805
2^14,0.005475
2^15,0.011335
2^15,0.013845
2^15,0.011630
2^15,0.011385
2^15,0.010675
2^16,0.018320
2^16,0.017730
2^16,0.017580
2^16,0.004215
2^16,0.002925
2^17,0.008210
2^17,0.006400
2^17,0.006085
2^17,0.005375
2^17,0.005195
2^18,0.315435
2^18,0.010520
2^18,0.008900
2^18,0.007795
2^18,0.012350
2^19,0.421795
2^19,0.018760
2^19,0.017900
2^19,0.018070
2^19,0.017930
2^20,0.450655
2^20,0.040430
2^20,0.035670
2^20,0.035645
2^20,0.035750
