Exponent,Latency (ms)
2^0,0.308909
2^0,0.001147
2^0,0.001164
2^0,0.001149
2^0,0.001144
2^1,0.001153
2^1,0.001169
2^1,0.001144
2^1,0.001149
2^1,0.001158
2^2,0.001165
2^2,0.001155
2^2,0.001171
2^2,0.001153
2^2,0.001561
2^3,0.001324
2^3,0.001145
2^3,0.001135
2^3,0.001133
2^3,0.001143
2^4,0.001127
2^4,0.001126
2^4,0.001134
2^4,0.001122
2^4,0.001120
2^5,0.001253
2^5,0.001223
2^5,0.001237
2^5,0.001235
2^5,0.001216
2^6,0.001516
2^6,0.001346
2^6,0.001327
2^6,0.001364
2^6,0.001333
2^7,0.001374
2^7,0.001352
2^7,0.001345
2^7,0.001365
2^7,0.001356
2^8,0.002181
2^8,0.001639
2^8,0.001652
2^8,0.001648
2^8,0.001649
2^9,0.001722
2^9,0.001755
2^9,0.001778
2^9,0.001789
2^9,0.001768
2^10,0.001889
2^10,0.001886
2^10,0.001880
2^10,0.001876
2^10,0.001872
2^11,0.117910
2^11,0.002413
2^11,0.002488
2^11,0.002479
2^11,0.002462
2^12,0.003045
2^12,0.003538
2^12,0.002990
2^12,0.003035
2^12,0.002967
2^13,0.003833
2^13,0.003839
2^13,0.003832
2^13,0.003703
2^13,0.003760
2^14,0.005689
2^14,0.004965
2^14,0.005243
2^14,0.005122
2^14,0.005043
2^15,0.007160
2^15,0.006853
2^15,0.006879
2^15,0.006732
2^15,0.006804
2^16,0.009973
2^16,0.009718
2^16,0.009421
2^16,0.009499
2^16,0.010068
2^17,0.016419
2^17,0.017794
2^17,0.016123
2^17,0.015357
2^17,0.015571
2^18,0.124593
2^18,0.026977
2^18,0.027015
2^18,0.026970
2^18,0.026960
2^19,0.184299
2^19,0.048165
2^19,0.048255
2^19,0.048189
2^19,0.048220
2^20,0.229552
2^20,0.090748
2^20,0.090748
2^20,0.090632
2^20,0.090645
