Exponent,Latency (ms)
2^0,0.004317
2^0,0.000306
2^0,0.000304
2^0,0.000605
2^0,0.000303
2^1,0.000309
2^1,0.000712
2^1,0.000320
2^1,0.000304
2^1,0.000303
2^2,0.000314
2^2,0.000302
2^2,0.000448
2^2,0.000301
2^2,0.000302
2^3,0.000402
2^3,0.000404
2^3,0.000402
2^3,0.000402
2^3,0.000390
2^4,0.004451
2^4,0.003773
2^4,0.001640
2^4,0.002219
2^4,0.001703
2^5,0.004252
2^5,0.003087
2^5,0.001705
2^5,0.001980
2^5,0.001960
2^6,0.006445
2^6,0.009037
2^6,0.005008
2^6,0.006108
2^6,0.003411
2^7,0.012548
2^7,0.008670
2^7,0.009135
2^7,0.009203
2^7,0.005876
2^8,0.014275
2^8,0.010192
2^8,0.011883
2^8,0.009680
2^8,0.009961
2^9,0.127208
2^9,0.012115
2^9,0.011049
2^9,0.011679
2^9,0.011116
2^10,0.269763
2^10,0.171574
2^10,0.171155
2^10,0.174144
2^10,0.171969
2^11,0.367479
2^11,0.154890
2^11,0.154355
2^11,0.154540
2^11,0.154590
2^12,1.161220
2^12,0.738637
2^12,0.718277
2^12,0.706237
2^12,0.694730
2^13,6.231462
2^13,6.216294
2^13,6.036773
2^13,6.056481
2^13,6.039223
2^14,28.467695
2^14,25.872142
2^14,25.472220
2^14,25.271206
2^14,26.409162
2^15,108.754093
2^15,100.902103
2^15,103.314280
2^15,105.366059
2^15,102.104465
