Exponent,Latency (ms)
2^0,0.286412
2^0,0.000416
2^0,0.000484
2^0,0.000584
2^0,0.000559
2^1,0.000447
2^1,0.000448
2^1,0.000582
2^1,0.000596
2^1,0.000601
2^2,0.000529
2^2,0.000526
2^2,0.000503
2^2,0.000538
2^2,0.000501
2^3,0.000662
2^3,0.000655
2^3,0.000665
2^3,0.000708
2^3,0.000612
2^4,0.118227
2^4,0.000403
2^4,0.000419
2^4,0.000379
2^4,0.000386
2^5,0.000686
2^5,0.000685
2^5,0.000646
2^5,0.000652
2^5,0.000657
2^6,0.002584
2^6,0.001911
2^6,0.001912
2^6,0.001944
2^6,0.001917
2^7,0.004622
2^7,0.004524
2^7,0.005009
2^7,0.004504
2^7,0.004859
2^8,0.013824
2^8,0.013427
2^8,0.015276
2^8,0.016526
2^8,0.013904
2^9,0.105938
2^9,0.059100
2^9,0.059134
2^9,0.058945
2^9,0.059139
2^10,0.280738
2^10,0.150118
2^10,0.067419
2^10,0.067489
2^10,0.067496
2^11,0.453417
2^11,0.391697
2^11,0.313998
2^11,0.175560
2^11,0.175774
2^12,0.899429
2^12,0.686641
2^12,0.686576
2^12,0.686102
2^12,0.686494
2^13,3.011010
2^13,3.806423
2^13,3.074337
2^13,3.462357
2^13,3.043833
2^14,12.725364
2^14,12.312120
2^14,12.418332
2^14,12.285206
2^14,12.245523
2^15,50.206851
2^15,47.394492
2^15,47.424752
2^15,47.381824
2^15,47.429969
