Exponent,Latency (ms)
2^0,0.003521
2^0,0.000321
2^0,0.000210
2^0,0.000489
2^0,0.000210
2^1,0.000215
2^1,0.000769
2^1,0.000212
2^1,0.000218
2^1,0.000207
2^2,0.000212
2^2,0.000208
2^2,0.000451
2^2,0.000225
2^2,0.000220
2^3,0.000228
2^3,0.000211
2^3,0.000209
2^3,0.000209
2^3,0.000217
2^4,0.000223
2^4,0.000214
2^4,0.000215
2^4,0.000709
2^4,0.000204
2^5,0.000385
2^5,0.000235
2^5,0.000237
2^5,0.000225
2^5,0.000217
2^6,0.000220
2^6,0.000265
2^6,0.000233
2^6,0.000235
2^6,0.000217
2^7,0.003960
2^7,0.001375
2^7,0.001375
2^7,0.002219
2^7,0.001280
2^8,0.001647
2^8,0.001335
2^8,0.002162
2^8,0.001343
2^8,0.001343
2^9,0.001475
2^9,0.001865
2^9,0.002575
2^9,0.000846
2^9,0.000774
2^10,0.001111
2^10,0.003154
2^10,0.001470
2^10,0.001289
2^10,0.000960
2^11,0.002669
2^11,0.004339
2^11,0.002632
2^11,0.003092
2^11,0.001729
2^12,0.005145
2^12,0.006035
2^12,0.008390
2^12,0.005837
2^12,0.003062
2^13,0.008344
2^13,0.006578
2^13,0.006460
2^13,0.006463
2^13,0.006326
2^14,0.016202
2^14,0.012313
2^14,0.013992
2^14,0.013127
2^14,0.012532
2^15,0.022910
2^15,0.023325
2^15,0.023800
2^15,0.021926
2^15,0.020840
2^16,0.044046
2^16,0.044442
2^16,0.046027
2^16,0.047757
2^16,0.047922
2^17,0.059541
2^17,0.029413
2^17,0.030213
2^17,0.029789
2^17,0.029427
2^18,0.077180
2^18,0.048009
2^18,0.007386
2^18,0.007324
2^18,0.007526
2^19,0.075029
2^19,0.018984
2^19,0.017021
2^19,0.016863
2^19,0.016690
2^20,0.118118
2^20,0.081545
2^20,0.029186
2^20,0.032507
2^20,0.032526
