Exponent,Latency (ms)
2^0,0.336021
2^0,0.001187
2^0,0.001199
2^0,0.001184
2^0,0.001180
2^1,0.001181
2^1,0.001196
2^1,0.001178
2^1,0.001180
2^1,0.001186
2^2,0.001191
2^2,0.001188
2^2,0.001198
2^2,0.001188
2^2,0.001189
2^3,0.001208
2^3,0.001196
2^3,0.001191
2^3,0.001190
2^3,0.001192
2^4,0.001194
2^4,0.001194
2^4,0.001201
2^4,0.001192
2^4,0.001191
2^5,0.001427
2^5,0.001343
2^5,0.001307
2^5,0.001368
2^5,0.001336
2^6,0.001551
2^6,0.001385
2^6,0.001404
2^6,0.001415
2^6,0.001387
2^7,0.001762
2^7,0.001455
2^7,0.001422
2^7,0.001458
2^7,0.001446
2^8,0.002397
2^8,0.001751
2^8,0.001688
2^8,0.001694
2^8,0.001692
2^9,0.001835
2^9,0.001833
2^9,0.001826
2^9,0.001829
2^9,0.001864
2^10,0.002017
2^10,0.002015
2^10,0.002000
2^10,0.002011
2^10,0.001982
2^11,0.128527
2^11,0.002447
2^11,0.002474
2^11,0.002485
2^11,0.002488
2^12,0.003179
2^12,0.003123
2^12,0.003087
2^12,0.003073
2^12,0.003047
2^13,0.003825
2^13,0.004256
2^13,0.004106
2^13,0.004492
2^13,0.003796
2^14,0.006454
2^14,0.005301
2^14,0.004977
2^14,0.005412
2^14,0.005291
2^15,0.007053
2^15,0.006771
2^15,0.007301
2^15,0.007032
2^15,0.006988
2^16,0.009564
2^16,0.010135
2^16,0.010450
2^16,0.010106
2^16,0.010109
2^17,0.016971
2^17,0.016884
2^17,0.016504
2^17,0.017636
2^17,0.016346
2^18,0.129021
2^18,0.032055
2^18,0.031984
2^18,0.031885
2^18,0.032762
2^19,0.188787
2^19,0.053201
2^19,0.053651
2^19,0.053412
2^19,0.053149
2^20,0.231078
2^20,0.096948
2^20,0.096709
2^20,0.097051
2^20,0.096676
