Exponent,Latency (ms)
2^0,0.001137
2^0,0.000761
2^0,0.000755
2^0,0.000752
2^0,0.000753
2^1,0.000786
2^1,0.000753
2^1,0.000752
2^1,0.000755
2^1,0.000750
2^2,0.000751
2^2,0.000777
2^2,0.000753
2^2,0.000752
2^2,0.000753
2^3,0.000883
2^3,0.000753
2^3,0.000753
2^3,0.000779
2^3,0.000752
2^4,0.000754
2^4,0.000753
2^4,0.000753
2^4,0.000748
2^4,0.000853
2^5,0.001072
2^5,0.001079
2^5,0.001073
2^5,0.001075
2^5,0.001105
2^6,0.001064
2^6,0.001066
2^6,0.001065
2^6,0.001085
2^6,0.001057
2^7,0.002555
2^7,0.001168
2^7,0.001209
2^7,0.001155
2^7,0.001185
2^8,0.001434
2^8,0.001278
2^8,0.001260
2^8,0.001252
2^8,0.001273
2^9,0.001980
2^9,0.001679
2^9,0.001679
2^9,0.001674
2^9,0.001665
2^10,0.002610
2^10,0.002019
2^10,0.002059
2^10,0.002008
2^10,0.001990
2^11,0.004354
2^11,0.003681
2^11,0.003616
2^11,0.003499
2^11,0.003531
2^12,0.007552
2^12,0.005547
2^12,0.005410
2^12,0.005372
2^12,0.005410
2^13,0.009766
2^13,0.009409
2^13,0.009285
2^13,0.009254
2^13,0.009302
2^14,0.014529
2^14,0.006930
2^14,0.006271
2^14,0.006276
2^14,0.006249
2^15,0.010992
2^15,0.012095
2^15,0.012500
2^15,0.012458
2^15,0.012442
2^16,0.023617
2^16,0.023766
2^16,0.023669
2^16,0.023725
2^16,0.023648
2^17,0.044645
2^17,0.044535
2^17,0.044463
2^17,0.044541
2^17,0.044477
2^18,0.022914
2^18,0.020724
2^18,0.020815
2^18,0.024656
2^18,0.024041
2^19,0.049618
2^19,0.050597
2^19,0.050537
2^19,0.050587
2^19,0.050526
2^20,0.089132
2^20,0.095396
2^20,0.094855
2^20,0.094916
2^20,0.094428
