Exponent,Latency (ms)
2^0,0.013449
2^0,0.000700
2^0,0.000685
2^0,0.000684
2^0,0.000679
2^1,0.000681
2^1,0.000721
2^1,0.000686
2^1,0.000718
2^1,0.000687
2^2,0.000692
2^2,0.000691
2^2,0.000692
2^2,0.000721
2^2,0.000698
2^3,0.000722
2^3,0.000692
2^3,0.000690
2^3,0.000691
2^3,0.000691
2^4,0.000726
2^4,0.000693
2^4,0.000715
2^4,0.000691
2^4,0.000693
2^5,0.000813
2^5,0.000812
2^5,0.000817
2^5,0.001071
2^5,0.000830
2^6,0.000799
2^6,0.000798
2^6,0.000806
2^6,0.000794
2^6,0.000812
2^7,0.000826
2^7,0.000818
2^7,0.000821
2^7,0.000858
2^7,0.000834
2^8,0.006887
2^8,0.001178
2^8,0.001203
2^8,0.001217
2^8,0.001195
2^9,0.001304
2^9,0.001321
2^9,0.001370
2^9,0.001288
2^9,0.001301
2^10,0.001456
2^10,0.001467
2^10,0.001460
2^10,0.001521
2^10,0.001479
2^11,0.001786
2^11,0.001764
2^11,0.001735
2^11,0.001756
2^11,0.001750
2^12,0.002582
2^12,0.002457
2^12,0.002597
2^12,0.002599
2^12,0.002614
2^13,0.003811
2^13,0.003750
2^13,0.003706
2^13,0.003634
2^13,0.003753
2^14,0.007432
2^14,0.007437
2^14,0.007276
2^14,0.007452
2^14,0.007313
2^15,0.010569
2^15,0.004086
2^15,0.004054
2^15,0.004028
2^15,0.004113
2^16,0.006527
2^16,0.006474
2^16,0.006527
2^16,0.007435
2^16,0.005251
2^17,0.009068
2^17,0.008642
2^17,0.008724
2^17,0.008555
2^17,0.008658
2^18,0.018226
2^18,0.014769
2^18,0.014731
2^18,0.014807
2^18,0.014786
2^19,0.031257
2^19,0.025449
2^19,0.025252
2^19,0.025246
2^19,0.025094
2^20,0.052144
2^20,0.046754
2^20,0.046538
2^20,0.046678
2^20,0.046508
