Exponent,Latency (ms)
2^0,0.000520
2^0,0.000431
2^0,0.000387
2^0,0.000386
2^0,0.000387
2^1,0.000385
2^1,0.000380
2^1,0.000377
2^1,0.000379
2^1,0.000386
2^2,0.000385
2^2,0.000386
2^2,0.000385
2^2,0.000411
2^2,0.000377
2^3,0.000381
2^3,0.000386
2^3,0.000382
2^3,0.000383
2^3,0.000381
2^4,0.000385
2^4,0.000387
2^4,0.000385
2^4,0.000387
2^4,0.000386
2^5,0.000569
2^5,0.000551
2^5,0.000560
2^5,0.000558
2^5,0.000556
2^6,0.000546
2^6,0.000549
2^6,0.000549
2^6,0.000729
2^6,0.000536
2^7,0.001385
2^7,0.000633
2^7,0.000623
2^7,0.000610
2^7,0.000616
2^8,0.000855
2^8,0.000695
2^8,0.000686
2^8,0.000694
2^8,0.000686
2^9,0.001091
2^9,0.000928
2^9,0.000870
2^9,0.000899
2^9,0.000890
2^10,0.001473
2^10,0.001134
2^10,0.001113
2^10,0.001109
2^10,0.001072
2^11,0.002435
2^11,0.001927
2^11,0.001964
2^11,0.001928
2^11,0.001917
2^12,0.004320
2^12,0.003270
2^12,0.003188
2^12,0.003137
2^12,0.003154
2^13,0.005758
2^13,0.002121
2^13,0.002148
2^13,0.002128
2^13,0.002151
2^14,0.004329
2^14,0.004345
2^14,0.004360
2^14,0.004456
2^14,0.004679
2^15,0.006988
2^15,0.006911
2^15,0.007000
2^15,0.007002
2^15,0.007028
2^16,0.013439
2^16,0.013307
2^16,0.013352
2^16,0.013377
2^16,0.013276
2^17,0.026177
2^17,0.026069
2^17,0.026028
2^17,0.026172
2^17,0.026085
2^18,0.007977
2^18,0.004324
2^18,0.004327
2^18,0.004260
2^18,0.004254
2^19,0.014861
2^19,0.010142
2^19,0.010002
2^19,0.009523
2^19,0.009488
2^20,0.022840
2^20,0.017690
2^20,0.017603
2^20,0.017556
2^20,0.017509
