Exponent,Latency (ms)
2^0,0.018182
2^0,0.001597
2^0,0.001572
2^0,0.001596
2^0,0.001583
2^1,0.001578
2^1,0.001597
2^1,0.001593
2^1,0.001577
2^1,0.001580
2^2,0.001597
2^2,0.001623
2^2,0.001599
2^2,0.001601
2^2,0.001629
2^3,0.001601
2^3,0.001586
2^3,0.001599
2^3,0.001581
2^3,0.001799
2^4,0.001603
2^4,0.001587
2^4,0.001606
2^4,0.001610
2^4,0.001587
2^5,0.001934
2^5,0.001994
2^5,0.001942
2^5,0.001948
2^5,0.001929
2^6,0.001955
2^6,0.001899
2^6,0.001925
2^6,0.001928
2^6,0.001910
2^7,0.001932
2^7,0.001948
2^7,0.001904
2^7,0.001968
2^7,0.001911
2^8,0.002497
2^8,0.002409
2^8,0.008270
2^8,0.002419
2^8,0.002431
2^9,0.002712
2^9,0.002741
2^9,0.002716
2^9,0.002736
2^9,0.002709
2^10,0.003210
2^10,0.003247
2^10,0.003235
2^10,0.003205
2^10,0.003213
2^11,0.004439
2^11,0.004364
2^11,0.004365
2^11,0.004350
2^11,0.004360
2^12,0.006359
2^12,0.006404
2^12,0.006375
2^12,0.006362
2^12,0.006346
2^13,0.009503
2^13,0.009470
2^13,0.009450
2^13,0.009455
2^13,0.009481
2^14,0.013803
2^14,0.013691
2^14,0.013694
2^14,0.013686
2^14,0.013681
2^15,0.024097
2^15,0.024267
2^15,0.024304
2^15,0.024160
2^15,0.024115
2^16,0.038935
2^16,0.038962
2^16,0.038938
2^16,0.038950
2^16,0.038916
2^17,0.066832
2^17,0.066894
2^17,0.066662
2^17,0.066703
2^17,0.066848
2^18,0.130737
2^18,0.124549
2^18,0.124609
2^18,0.124577
2^18,0.124530
2^19,0.240167
2^19,0.232331
2^19,0.232270
2^19,0.232232
2^19,0.232164
2^20,0.455058
2^20,0.463999
2^20,0.448655
2^20,0.447823
2^20,0.447612
