Exponent,Latency (ms)
2^0,0.001360
2^0,0.000750
2^0,0.000744
2^0,0.000744
2^0,0.000745
2^1,0.000745
2^1,0.000775
2^1,0.000746
2^1,0.000747
2^1,0.000746
2^2,0.000745
2^2,0.000746
2^2,0.000746
2^2,0.000782
2^2,0.000744
2^3,0.000745
2^3,0.000746
2^3,0.000743
2^3,0.000744
2^3,0.000772
2^4,0.000745
2^4,0.000743
2^4,0.000744
2^4,0.000743
2^4,0.000743
2^5,0.001076
2^5,0.001045
2^5,0.001056
2^5,0.001059
2^5,0.001059
2^6,0.001076
2^6,0.001035
2^6,0.001047
2^6,0.001048
2^6,0.001052
2^7,0.002491
2^7,0.001170
2^7,0.001166
2^7,0.001341
2^7,0.001157
2^8,0.001414
2^8,0.001286
2^8,0.001262
2^8,0.001265
2^8,0.001231
2^9,0.001943
2^9,0.001624
2^9,0.001597
2^9,0.001660
2^9,0.001598
2^10,0.002644
2^10,0.002003
2^10,0.001991
2^10,0.001995
2^10,0.001959
2^11,0.004267
2^11,0.003444
2^11,0.003416
2^11,0.003388
2^11,0.003389
2^12,0.007408
2^12,0.005500
2^12,0.005386
2^12,0.005347
2^12,0.005349
2^13,0.009479
2^13,0.009879
2^13,0.009730
2^13,0.009691
2^13,0.009727
2^14,0.016762
2^14,0.016692
2^14,0.016593
2^14,0.016581
2^14,0.016579
2^15,0.030082
2^15,0.030359
2^15,0.013824
2^15,0.012150
2^15,0.012322
2^16,0.021812
2^16,0.021770
2^16,0.021791
2^16,0.021752
2^16,0.021826
2^17,0.041666
2^17,0.041525
2^17,0.041598
2^17,0.041490
2^17,0.041452
2^18,0.058785
2^18,0.051695
2^18,0.051758
2^18,0.051673
2^18,0.051697
2^19,0.109008
2^19,0.101872
2^19,0.101513
2^19,0.101542
2^19,0.101874
2^20,0.210587
2^20,0.202045
2^20,0.201908
2^20,0.201944
2^20,0.201321
